A,B,C
18,5,90
12,-2561,-30732
24,5,120b
23,24,552
-16,-21,336
24,16,384
11,2,22
5646,5,28230
14,34,476
-195616,-3,586848
18,2,36
-516,25,-12900
17,1,17
25,4,100a
-19,-3,57
18,6,108
-17,-24,408
16,1,16
17,24,408
5424,1,5424
23,3,69
-21,5,-105
18,41,738
25,2,50
12,3,36
5615,4,22460
15,0,0
17,14,238
12,1,12
11,4,44
25,18,450
13,17,221
1,55,55
9,17,153
7,15,105
4864,-1,-4864
4,4,16
6,174,1044
3,1,3
12,74,888
7,14,98
8,15,120
9,8,72
14,48,672
25,1,25
7,55,385
2,14,28
1,1,1a
3,21,63
6666,115,766590
4,0,0
22,1,22
5684168,-1,-5684168
12,0,0
15,101,1515
14,515,7210
16,1,16
24,451,10824
84825,1,84825
14,15654,219156
29,1,29
9,4964,44676
5,54,270
-21,1,-21
24,10,240
564,101,56964
8,11,88
11,1,11
10,0,0
2,10,20
251561,21,5282781
3,1,3c
75161,5,375805
7,185,1295
5,24,120
51515,14,721210
5,1,5
12,81,972
15,7,105
16,148494,2375904
10,9,90
22,1561,34342
3,9,27
862,16,13792
4,1,4
5,61,305
6561,3,19683
8,163,1304
564,0,0
8,56,448
18,0,0
19,50,950
51515,4,206060
5151,1,5151
55,0,0
10,5,50
86541,4,346164
48,0,0
19,10,190
15,51551,773265
12,8549,102588
14,0,0
848,1,848
848,5,4240
-10,-48584,485840
15,4,60
9459,0,0
18,45615,821070
19,0,0
17,0,0
18,465615,8381070
12,0,0
15,5616,84240
8,0,0
5656,12,67872
46516,1651,76797916
5,2,10
8519684,-1,-8519684
546561,2,1093122
2,11,22
3,41,123
8,42,336
-45864,41,-1880424
498494,18,8972892
4,181,724
5,18,90
614,181,111134
5,1,5
6516,18,117288
8,18,144
1,18,18
9,1,9
15,18,270
2,1,2
3,818,2454
4,1851,7404
5854,51,298554
6,18,108
1,1,1
8,18,144
16516,1,16516
7,18,126
9,185,1665
5,8,40
6,85,510
48654968,1,48654968
2,5,10
1,85,85
8978,1,8978
5,59459,297295
4,10101,40404
7,101,707
8,1,8
516515,1,516515
7,21,147
9,3,27
4,11,44
5,11,55
12,11,132
489546,22,10770012
3,114,342
2,848,1696
15,15,225
1,16,16
5616,14,78624
4,17,68
1,17,17
2,8494,16988
5,14,70
6,15,90
16,15,240
89494,24,2147856
2,1,2
5,41,205
14,4,56
25,14,350
16,596459,9543344
14,8,112
516516,8,4132128
18,15,270
17,15,255
12,81684,980208
13,8,104
10,4,40
15,848,12720
1,17,17
20,17,340
3,15,45
4,4,16
5,48,240
549684,12,6596208
2,4,8
9,484,4356
8,26,208
7,24,168
1,15,15
2,51,102
15,2,30
48,48,2304
14,8,112
56456,8,451648
2,545,1090
18,8,144
19,2,38
-46846,0,0
8448,2,16896
4,0,0c
15,3,45
16,949,15184
14,4984,69776
17,1515,25755
18,2,36
10,42,420
9,5,45
8,254,2032
7,25,175
24,55,1320
25,1,25
2,5,10
24,15,360
21,515,10815
20,25,500
23,151,3473
24,15,360
25,1,25
6,515,3090
21,2,42
23,4,92
20,41,820
7,15,105
8,11,88
21,214,4494
6,1145,6870a
24,1,24
25,14,350
21,114,2394
0,141,0
0,-5646546,0
21,11,231
23,4,92
24,15,360
20,0,0
20,6,120a
23,1,23
24,561,13464
8,51,408
0,51,0
2,52,104
4,2,8
3,0,0
6,451,2706
5,4,20b
7,0,0
-5648,-4865,27477520
9,1,9
0,9,0
4,-10,-40
7,1,7
-48,-5641,270768
5,0,0
9,101,909
4,9,36
6,1,6
6,5415,32490
8,1,8
9849,100,984900
2,21,42
1,454,454
3,2,6d
5515,1165,6424975
4,315,1260
6,24,144
7,26,182
8,24,192
9,2,18
4,42,168
5,4,20
656151,24,15747624
3,12,36
21,8,168
9,8,72
24,18,432
851616,45,38322720
9,848,7632
24,8585,206040
25,854,21350
21,41,861
24,515,12360a
-256156,-54,13832424
5,61,305
2,515,1030
-56545,14,-791630
2,4964,9928
6,514,3084
2,14,28
8,141,1128
6,41,246
4,414,1656
-4845,-8445,40916025
1,14,14e
2,1515,3030
-843,-8417,7095531
1,17,17
