A,B,C
73,97,7081
68,36,2448
95,71,6745
27,17,459
564,0,0
79,42,3318
17,321,5457
24,38,912
53,55,2915
87,39,3393
9,88,792
9,2,18
15,,0
15,43,645
73,68,4964
23,9,207
77,88,6776
10,32,320
30,28,840
45,21,945
71,98,6958
61,20,1220
64,82,5248
12,28,336
57,5,285
,0,0
3,12,3c
-12,4949,-59388
55,69,3795
20,89,1780
861,9498,8177778
19,11,209
62,49,3038
8,32,256
2,27,54
59,99,5841
77,69,5313
37,62,2294
38,20,760
98,84,8232
31,8,248
80,78,6240
66,84,5544
99,62,6138
83,64,5312
12,50,600
88,36,3168
156,14,2184
93,64,5952
24,15,360
77,45,3465
-484,6,-2904
46,57,2622
7,43,301
17,52,884
70,72,5040
74,98,7252
33,80,2640
42,81,3402
949,979,929071
81,99,8019
90,71,6390
498,78,38844
798,4897,3907806
23,85,1955
24,10,240
55,57,3135
52,42,2184
9,1,9
4,60,240
11,79,869
16,2,32
74,88,6512
5615,1,5615
80,91,7280
78,14,1092
984,9494,9342096
27,798,21546
48,85,4080
23,798,18354
49,949,46501
57,7,399
64,89,5696
89,59,5251
63,21,1323
45,43,1935
64,96,6144
87,77,6699
85,80,6800
100,92,9200
-21,1,-21
-843,-8417,7095531
27,5,135
17,53,901
35,35,1225
498,949,472602
1,1,1
92,10,920
11,60,660
92,58,5336
93,52,4836
93,19,1767
16,148494,2375904
46,85,3910
2,47,94
984,25,24600
46,49,2254
88,16,1408
77,31,2387
87,11,957
11,96,1056
24,27,648
66,89,5874
70,56,3920
36,489,17604
2,1515,3030
40,79,3160
18,37,666
8519684,84,715653456
101,84,8484
42,57,2394
49,33,1617
15,32,480
6,10,60
10,42,420
52,57,2964
9,1,9
3,84,252
24,78,1872
68,65,4420
75,43,3225
65,65,4225
50,87,4350
265,12,3180
4,5,20
9,71,639
33,47,1551
465,84848,39454320
25,36,900
39,5,195
1,230,230
8,4,32
55,90,4950
91,50,4550
59,41,2419
4,4,16
51,1145,6870a
4964,465,2308260
46,55,2530
76,71,5396
58,33,1914
35,98,3430
85,86,7310
4894,894894,4379611236
91,15,1365
28,11,308
18656,562,10484672
10,69,690
31,52,1612
47,83,3901
54,42,2268
1515,17,25755
39,7,273
100,51,5100
82,4,328
84,81,6804
8,49,392
80,82,6560
31,69,2139
66,61,4026
40,27,1080
494,797,393718
100,52,5200
44,51,2244
98,45,4410
48,43,2064
615,96,59040
39,20,780
25,789,19725
5424,654,3547296
3,515,1545
82,63,5166
69,73,5037
65,32,2080
17,2,34
42,-5616,-235872
52,63,3276
9,99,891
52,46,2392
23,151,3473
6,11,66
46,14,644
22,29,638
10,60,600
72,70,5040
100,11,1100
68,5,340
48,74,3552
12,21,252
61,96,5856
564,101,56964
33,43,1419
15,2,30
42,96,4032
10,50,500
50,20,1000
165,72,11880
57,65,3705
67,96,6432
51,66,3366
6945,56,388920
25,44,1100
45,15,675
2,14,28
-48,-5641,270768
52,61,3172
99,47,4653
60,40,2400
651,646,420546
45,44,1980
32,50,1600
84,24,408b
28,69,1932
30,33,990
43,8,344
0,9879,0
40,68,2720
52,52,2704
51,849,6870a
51,96,4896
1,81,81
67,67,4489
19,84,1596
21,12,252
3,41,123
54,68,3672
52,2,104
87,68,5916
27,30,810
82,51,4182
2,17,34
80,53,4240
50,26,1300
3,52,156
62,75,4650
75,35,2625
88,95,8360
7,59,413
81,32,2592
81,12,972
29,26,754
17,1,17
82,24,1968
21,32,672
70,9,630
73,86,6278
561,29,16269
12,0,0
34,71,2414
62,31,1922
30,9,270
4,79,316
6,949,5694
87,51,4437
2,6556,13112
10,9,90
56,72,4032
10,5,50
14,24,336
9,90,810
43,65,2795
56,24,1344
515,3543,1824645
84,425,35700
59,50,2950
86,61,5246
9547,55,525085
94,100,9400
81,84,6804
6515,41,267115
2,4964,9928
24,70,1680
51,82,4182
1,14,14e
98,48,4704
1,798,798
12,0,0
-89,8494,-755966
27,44,1188
74,10,740
11,97,1067
50,100,5000
88,10,880
28,92,2576
16,89,1424
78,91,7098
2,4964,9928
83,14,1162
494,894,441636
11,8,88
99,45,4455
1,80,80
3825,484,1851300
47,16,752
16,39,624
29,89,2581
45,18,810
19,21,399
55,86,4730
11,64,704
92,63,5796
17,42,714
55,44,2420
96,76,7296
36,83,2988
14,80,1120
85,23,1955
43,42,1806
94,95,8930
29,84,2436
28,22,616
1,9,9
51,25,1275
24,3,72
1,17,17
7,55,385
1,4894,4894
76,15,1140
57,8,456
498,27,13446
72,89,6408
81,41,3321
27,59,1593
12,95,1140
894,5,4470
45,40,1800
65,27,1755
81,74,5994
46,91,4186
50,83,4150
41,62,2542
10,87,870
19,74,1406
85,17,1445
82,29,2378
21,77,1617
52,56,2912
48,12,576
96,90,8640
48,54,2592
48484,156,7563504
865,13,11245
67,98,6566
43,28,1204
79,71,5609
18,29,522
2,21,42
92,46,4232
9,54,486
17,48,816
99,15,1485
10,74,740
24,72,1728
53,57,3021
489,2,978
78,73,5694
99,33,3267
4,202,808
16,75,1200
6,174,1044
46,5,230
5,49874,249370
28,58,1624
100,24,2400
84,94,7896
24,37,888
57,27,1539
6165,465,2866725
5,44,220
31,32,992
40,37,1480
8494,51,433194
49,19,931
984,489,481176
91,33,3003
1,949,949
39,37,1443
185,1,185
47,61,2867
15,64,960
43,100,4300
84,894894,75171096
174,98,17052
252,5,1260
46,58,2668
83,77,6391
76,21,1596
26,25,650
68,53,3604
16,24,384
57,99,5643
45,50,2250
30,68,2040
32,32,1024
30,17,510
49,24,1176
50,97,4850
23,4,92
57,20,1140
53,63,3339
83,39,3237
984,4894,4815696
78,66,5148
4,0,0c
15,25,375
64,34,2176
4,414,1656
3,37,111
38,89,3382
88,13,1144
5,61,305
38,94,3572
585,564,329940
90,38,3420
55,55,3025
-8445,19,-160455
-4845,-8445,40916025
76,28,2128
17,2,34
70,21,1470
53,30,1590
13,77,1001
6,50,300
23,30,690
-151,5616,-848016
33,4,132
63,54,3402
22,26,572
19,94,1786
85,56,4760
39,80,3120
44,17,748
97,57,5529
798,4,3192
22,77,1694
685,9494,6503390
24,50,1200
31,48,1488
498494,18,8972892
49,7,343
15,21,315
82,16,1312
89,21,1869
81,77,6237
9,56,504
45,92,4140
52,35,1820
1,67,67
63,24,1512
9,20,180
24,73,1752
91,52,4732
79,22,1738
74,68,5032
16,41,656
4,32,128
25,27,675
98,49,4802
97,11,1067
24,98,12360a
10,86,860
98,38,3724
50,76,3800
8,141,1128
23,3,69
28,30,840
21,85,1785
2,49,98
12,797,9564
70,64,4480
21,41,861
55,33,1815
44,84,3696
23,49,1127
91,79,7189
12,24,288
8,90,720
29,86,2494
80,61,4880
12,79,948
41,75,3075
58,11,638
41,27,1107
18,494,8892
6,48,288
66,11,726
6666,115,766590
4,27,108
97,35,3395
16,50,800
61,70,4270
8,10,80
69,76,5244
60,16,960
71,93,6603
52,76,3952
22,37,814
6465,9798,63344070
8448,0,0
26,65,1690
88,56,4928
54,6,324
56,4,224
31,21,651
72,97,6984
94,28,2632
28,20,560
494,8,3952
77,34,2618
46,92,4232
89,22,1958
59,33,1947
797,4,3188
45,45,2025
37,81,2997
88,69,6072
88,23,2024
12,87,1044
34,74,2516
91,67,6097
60,56,3360
75,85,6375
-46846,20,-936920
2,2,4
86,55,4730
90,29,2610
11,27,297
81,24,1944
97,24,2328
5,33,165
86,78,6708
58,23,1334
94,53,4982
54,76,4104
59,38,2242
984,491,483144
72,88,6336
12,72,864
87,78,6786
66,7,462
18,48,864
4,87,348
10,55,550
62,50,3100
6,43,258
89,489,43521
28,44,1232
4964,2,9928
3,92,276
46,71,3266
43,93,3999
10,88,880
67,9,603
6,5,30
9459,0,0
34,50,1700
28,96,2688
7,156,1092
56,53,2968
85,64,5440
90,7,630
1,66,66
33,2,66
9494,2,18988
39,53,2067
60,27,1620
23,39,897
80,75,6000
91,30,2730
81,34,2754
57,45,2565
31,18,558
29,79,2291
44,62,2728
9,83,747
4984,515,2566760
31,64,1984
39,98,3822
38,43,1634
81,13,1053
62,52,3224
60,92,5520
73,43,3139
58,81,4698
-48,1651,-79248
10,70,700
68,72,4896
27,75,2025
156,16,2496
23,8,184
55,18,990
15,4,60
54,91,4914
189,20,3780
11,4,44
87,61,5307
23,20,460
949,798,757302
40,49,1960
57,40,2280
2442,15,36630
46,28,1288
89,0,0
82,22,1804
55,22,1210
63,71,4473
9,62,558
24,12,288
29,16,464
36,29,1044
81,1,81
14,24,336
21,65454,1374534
83,29,2407
12,1564,18768
19,0,0
23,59,1357
11,50,550
5,35,175
53,67,3551
8,57,456
93,79,7347
100,31,3100
49,82,4018
25,8,200
30,73,2190
98,17,1666
23,5,115
78,17,1326
7,14,98
47,4,188
4,414,1656
50,96,4800
15,77,1155
10,4949,49490
82,48,3936
5,76,380
19,82,1558
60,7,420
25,71,1775
13,59,767
62,40,2480
73,21,1533
72,25,1800
5646,27,152442
73,23,1679
1,4894,4894
90,63,5670
100,41,4100
5,82,410
57,73,4161
7,76,532
52,20,1040
48,23,1104
26,2,52
36,89,3204
51,3,153
99,49494,4899906
8489,494,4193566
29,39,1131
74,74,5476
57,86,4902
52,26,1352
23,63,1449
46,9498,436908
44,2,88
59,21,1239
51,65,3315
83,100,8300
18,2,36
89,38,3382
77,42,3234
86,24,2064
54,-1,-54
75,74,5550
2,24,48
66,24,1584
74,41,3034
16,515,8240
63,30,1890
54,14,756
38,15,570
98,82,8036
90,22,1980
91,21,1911
19,6,114
15,561,8415
95,3,285
68,3,204
17,1212,20604
74,66,4884
489,498,243522
21,5,105
26,86,2236
4,32,128
0,94,0
23,84,1932
84,21651,1818684
69,82,5658
51,51,2601
84,67,5628
59,84,4956
51,84,4284
1515,17,25755
4,6,24
84,83,6972
93,96,8928
21,15,315
85,77,6545
2,17,34
45,37,1665
47,34,1598
43,5,215
46,39,1794
85,49,4165
73,79,5767
56,100,5600
46,86,3956
-256156,-54,13832424
38,75,2850
75,96,7200
88,12,1056
15,99,1485
25,79,1975
58,6,348
92,7,644
12,-5616,-67392
#,28,#VALUE!
78,7,546
62,66,4092
9,8,72
3,70,210
23,17,391
33,5,165
58,88,5104
93,100,9300
73,50,3650
20,25,500
49,1,49
95,61,5795
79,56,4424
77,52,4004
32,8,256
4,36,144
26,40,1040
1,454,454
22,43,946
894,24,21456
79,32,2528
97,90,8730
37,99,3663
10,33,330
44,41,1804
91,60,5460
55,1,55
79,76,6004
12,55,660
17,13,221
48,38,1824
-59,-949649,56029291
73,49,3577
73,13,949
494,20,9880
89,30,2670
47,62,2914
88,68,5984
12,42,504
3,165,495
489,949,464061
84,70,5880
31,83,2573
14,99,1386
12,24,288
19,12,228
85,82,6970
59,11,649
44,100,4400
92,91,8372
41,82,3362
84,7489,629076
26,61,1586
70,45,3150
798,12,9576
24,32,768
69,35,2415
1,14,14e
69,58,4002
81,35,2835
59,52,3068
12,62,744
34,81,2754
5,1,5
18,36,648
83,86,7138
11,48,528
63,13,819
984,514,505776
10,61,610
86,89,7654
9,47,423
17,45,765
65,61,3965
61,64,3904
97,77,7469
29,77,2233
48,14,672
94,5,470
2,22,44
54,75,4050
36,88,3168
88,80,7040
77,93,7161
-5641,4984,-28114744
32,29,928
38,3,114
21,24,504
20,98,1960
21,494,10374
39,92,3588
23,66,1518
97,84,8148
49,32,1568
21,93,1953
82,47,3854
7,86,602
2,14,28
514,7,3598
75,53,3975
38,86,3268
8,16,128
87,100,8700
548,6546,3587208
46,97,4462
88,40,3520
88,5,440
25,44,1100
33,6,198
40,46,1840
96,89,8544
1,55,55
7,35,245
58,37,2146
71,73,5183
86,85,7310
224,65456,14662144
78,84,6552
10,71,710
99,14,1386
42,79,3318
73,80,5840
63,58,3654
798,49,39102
320,6584,2106880
85,65,5525
70,16,1120
25,23,575
45,47,2115
93,31,2883
66,54,3564
8,650,5200
27,73,1971
22,99,2178
948,49,46452
84,165,13860
919,49,45031
891,798,711018
50,19,950
48,15,720
84,74987,6298908
89,57,5073
76,73,5548
93,51,4743
94,42,3948
14,15,210
25,23,575
78,15,1170
27,93,2511
949,29,27521
76,49,3724
17,44,748
648,24,15552
11,8,88
54,99,5346
49,57,2793
798,798,636804
3,64,192
77,79,6083
17,27,459
98,77,7546
665,12,7980
84,1851,155484
22,86,1892
79,54,4266
61,12,732
86,45,3870
68,20,1360
79,3,237
498494,6,2990964
69,37,2553
1,657,657
31,38,1178
86,75,6450
60,10,600
18,30,540
948,985,933780
61,90,5490
7,78,546
70,60,4200
1,73,73
64,61,3904
22,20,440
88,65,5720
69,94,6486
36,76,2736
1516,25,37900
59,24,1416
53443,-3,-160329
1,89,89
47,87,4089
76,99,7524
14,6,84
52,98,5096
1,7,7
1,1,1a
230,4,920
43,50,2150
40,69,2760
659,561,369699
5,6,30
39,9,351
26,56,1456
4165,2,8330
36,43,1548
86,18,1548
5,1,5
43,45,1935
45,32,1440
19,93,1767
57,84,4788
17,14,238
95,88,8360
30,47,1410
45,49,2205
56,23,1288
1564,949,1484236
6574,651,4279674
36,52,1872
68,45,3060
5151,1,5151
6,39,234
59,8,472
100,94,9400
91,91,8281
99,81,8019
20,1,20
165,465,76725
1,40,40
19,17,323
45,87,3915
14,26,364
36,19,684
9494,8489,80594566
69,24,1656
24,61,1464
39,43,1677
22,98,2156
35,60,2100
52,7,364
62,55,3410
90,80,7200
984,0,0
30,93,2790
80,20,1600
57,28,1596
98,91,8918
19,85,1615
49849,24,1196376
27,76,2052
10,81,810
3,11,33
2,3543,7086
15,2,30
35,31,1085
1,17,17
6,53,318
21,55,1155
43,35,1505
92,89,8188
46,48484,2230264
10,6,60
9,13,117
489,56,27384
9,232,2088
96,80,7680
33,28,924
22,71,1562
78,57,4446
4,25,100a
22,38,836
16,148494,2375904
68,57,3876
91,5,455
5,80,400
5,12,60
13,95,1235
23,77,1771
22,895,19690
12,894894,10738728
21,8654,181734
8,1,8
16,26,416
31,20,620
18,73,1314
89,85,7565
69,66,4554
61,91,5551
66,76,5016
489,0,0
9,12,108
70,22,1540
64,97,6208
24,27,648
57,93,5301
21,83,1743
12,54,648
61,41,2501
56,81,4536
35,72,2520
71,29,2059
22,65,1430
7,49,343
85,84,7140
43,97,4171
100,74,7400
984,98,96432
84,56,4704
6,15,90
989,89,88021
89,4,356
94,51,4794
58,77,4466
15,67,1005
78,82,6396
54,59,3186
49,81,3969
87,75,6525
51,17,867
894,91589,81880566
53,90,4770
12,84,1008
8,43,344
97,100,9700
98,18,1764
87,86,7482
21,87,1827
19,19,361
81,94,7614
4,44,176
11,85,935
84,25,2100
76,16,1216
95,54,5130
59,96,5664
88,98,8624
26,82,2132
11,21,231
6,85,510
14,68,952
26,10,260
99,40,3960
73,58,4234
29,2,58
56,63,3528
484,984,476256
74,31,2294
16,65,1040
28,71,1988
71,52,3692
46,90,4140
12,24,288
2,31,62
81,47,3807
32,89,2848
74,30,2220
272,798,217056
96,17,1632
7,97,679
516,-54,-27864
46,25,1150
72,13,936
27,62,1674
8,141,1128
49,28,1372
61,51,3111
45,98,4410
21,465,9765
27,40,1080
24,36,864
69,38,2622
80,54,4320
82,67,5494
7,44,308
11,78,858
79,53,4187
16,54,864
66,19,1254
70,2,140
25,5,125
81,81,6561
49,897,43953
39,42,1638
984,7,6888
72,11,792
35,91,3185
14,4154,58156
7,32,224
14,63,882
3,8,24
42,15,630
86,14,1204
9,8,72
16,24,384
4,88,352
80,2,160
10,52,520
56,-9,-504
4,26,416e
4,17,68
20,8,160
12,9,108
52,91,4732
9,32,288
44,3,132
31,68,2108
9,50,450
14,23,322
95,81,7695
30,87,2610
31,41,1271
5,9,45
5,72,360
29,40,1160
45,39,1755
48,91,4368
69,2,138
494,20,9880
31,10,310
46,100,4600
52,13,676
86,29,2494
561,13,7293
5,465,2325
29,88,2552
90,44,3960
75,80,6000
58,99,5742
63,39,2457
7,61,427
77,25,1925
11,92,1012
29,91,2639
6,87,522
73,46,3358
13,60,780
64,49,3136
100,71,7100
61,47,2867
64,21,1344
8548,45,384660
498,49,24402
9849,100,984900
654,1212,792648
18,88,1584
13,51,663
73,40,2920
74,39,2886
89,71,6319
46,22,1012
97,51,4947
865,13,11245
28,91,2548
45,89,4005
37,38,1406
73,76,5548
38534,21,809214
40,17,680
41,78,3198
58,84,4872
44,61,2684
50,52,2600
49874,75161,3748579714
53,36,1908
85,1,85
66,2,132
494,48,23712
45,96,4320
13,46,598
74,44,3256
40,59,2360
82,75,6150
12,15,180
96,88,8448
58,46,2668
67,71,4757
55,41,2255
66,77,5082
56,10,560
17,24,408
38,6,228
4,100,400
2,38,76
27,37,999
5,94,470
53,13,689
6,27,162
95,84,7980
94,69,6486
41,54,2214
66,85,5610
2,78,156
21,465,9765
76,34,2584
9,984,8856
80,32,2560
33,59,1947
85,47,3995
21,465,9765
5,14,70
96,9,864
77,60,4620
12,92,1104
12,100,1200
92,43,3956
33,46,1518
32,74,2368
31,55,1705
89,9,801
31,67,2077
82,52,4264
69,9,621
10,43,430
19,24,456
52,73,3796
13,11,143
50,77,3850
11,1,11
67,37,2479
2,45,90
47,50,2350
498,24,11952
48,70,3360
70,81,5670
83,71,5893
26,47,1222
22,4894,107668
5,797,3985
32,6,192
80,33,2640
62,6,372
89,34,3026
20,4,80
51,75,3825
87,6,522
45,94,4230
6,67,402
36,54,1944
28,2,56
22,36,792
77,56,4312
12,42,504
38,10,380
57,57,3249
18,0,0
2,6,12
8,4,32
36,51,1836
25,99,2475
93,66,6138
33,54,1782
6,19,114
141,14,1974
4,4,16
23,97,2231
63,36,2268
94,73,6862
17,42,714
57,24,1368
80,31,2480
36,57,2052
78,78,6084
45,60,2700
100,19,1900
24,90,2160
6,8,48
86,22,1892
84,16,1344
56,27,1512
3,58,174
13,88,1144
25,41,1025
43,62,2666
43,46,1978
49,949,46501
1,55,55
45,61,2745
15,6546,98190
2,41,82
45,64964,2923380
43,55,2365
61,41,2501
71,67,4757
73,33,2409
32,69,2208
32,59,1888
63,70,4410
24,494,11856
561,966,541926
66,27,1782
25,22,550
70,68,4760
40,6,240
1,97,97
18,72,1296
85,5,425
85,92,7820
35,51,1785
50,38,1900
100,66,6600
74,73,5402
16,22,352
12,5,60
33,9,297
2,8494,16988
41,14,574
83,6,498
59,40,2360
65,37,2405
41,94,3854
92,1,92
88,11,968
55,29,1595
54,46,2484
-843,-8417,7095531
100,97,9700
4,23,92
8494,998,8477012
53,8,424
92,49,4508
78,51,120a
44,65,2860
99,100,9900
66,96,6336
16,44,704
19,40,760
49,8,392
99,77,7623
90,98,8820
98,66,6468
4,1,4
19,79,1501
15,76,1140
35,65,2275
5,465,2325
4,46,184
78,62,4836
98,24,2352
465,-949649,-441586785
1,16,16
5,49874,249370
24,798,19152
46,15,690
77,38,2926
45,9,405
23,28,644
11,7,77
65,42,2730
26,59,1534
874,789,689586
84,82,6888
65,21,1365
96,33,3168
74,60,4440
80,1,80
47,30,1410
8,54,432
67,20,1340
44,1,44
73,51,3723
79,88,6952
65,36,2340
17,38,646
80,95,7600
19,34,646
46,36,1656
32,60,1920
-1,15,-15
17,31,527
19,50,950
10,7,70
59,12,708
99,39,3861
52,30,1560
851616,6541,5570420256
141,14,1974
25,2,50
70,59,4130
4,83,332
65,87,5655
66,32,2112
69,83,5727
46,1,46
58,5,290
19,9494,180386
39,23,897
82,17,1394
4,34,136
598,61,36478
75,39,2925
67,34,2278
67,55,3685
25,72,1800
74,15,1110
87,26,2262
91,25,2275
1,78,78
2,43,86
19,44,836
4,797,3188
87,30,2610
62,28,1736
61,88,5368
65,88,5720
80,14,1120
24,20,480
13,76,988
41,9,369
12,24,408b
67,1,67
19,48,912
95,12,1140
81,37,2997
31,79,2449
51,55,2805
40,25,1000
82,78,6396
6,47,282
3825,-21,-80325
78,24,1872
77,100,7700
53,78,4134
35,53,1855
27,8,216
100,27,2700
73,27,1971
8,45,360
83,80,6640
47,96,4512
63,52,3276
69,23,1587
11,29,319
55,93,5115
13,79,1027
16,99,1584
42,77,3234
50,99,4950
81,83,6723
59,83,4897
64,40,2560
91,4,364
615,4,2460
50,13,650
50,73,3650
2,23,46
52,8,416
36,86,3096
100,63,6300
84,64,5376
35,27,945
95,20,1900
98,32,3136
87,47,4089
2,23,46
20,30,600
7,0,0
37,95,3515
8949,51,456399
13,66,858
69,3,207
6,30,180
45,30,1350
64,93,5952
94,99,9306
22,23,506
14,74,1036
80,73,5840
19,8,152
83,38,3154
99,3,297
40,72,2880
89,93,8277
64,30,1920
20,29,580
35,17,595
66,49,3234
16,1,16
3,71,213
90,3,270
265,4561,1208665
98,25,2450
919,49,45031
49,25,1225
95,32,3040
56,78,4368
89,18,1602
92,17,1564
27,7,189
42,1,42
89,1,89
19,42,798
10,8,80
89,20,1780
52,69,3588
52,21,1092
29,17,493
5,3,15
49,14,686
87,4,348
97,27,2619
32,66,2112
93,26,2418
23,4,92
95,56,5320
21,75,1575
89,50,4450
80,7,560
92,29,2668
78,13,1014
8,64964,519712
100,20,2000
83,55,4565
78,9489,740142
4,4,100a
31,96,2976
30,35,1050
53,80,4240
38,84,3192
16,73,1168
38,33,1254
89,37,3293
13,41,533
54,-1,-54
494,9494,4690036
80,17,1360
8494,1231,10456114
97,55,5335
88,59,5192
54,32,1728
68,29,1972
81,80,6480
39,74,2886
984,25,24600
8,55,440
93,53,4929
84848,849,72035952
85,74,6290
26,94,2444
7,36,252
76,89,6764
83,65,5395
45,84,3780
43,52,2236
88,41,3608
69,79,5451
36,92,3312
51,47,2397
12,894894,10738728
98,76,7448
67,63,4221
6,44,264
5,61,305
40,1,40
61,17,1037
14,515,7210
17,15,255
4,18,72
1654,949,1569646
18,78,1404
6,4654,27924
26,51,1326
55,24,1320
78,47,3666
51,4,204
8,561,4488
84,49,4116
51515,14,721210
7,1,7
8,73,584
65,52,3380
